,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
375,Strychnos jacarepiensis,Strychnos,jacarepiensis,,,,,,,,,,Loganiaceae,Strychnos jacarepiensis,Strychnos jacarepiensis,77112473-1,77112473-1,Species,Manual
376,Strychnos javariensis,Strychnos,javariensis,,,,,,,,,,Loganiaceae,Strychnos javariensis,Strychnos javariensis,247314-2,247314-2,Species,Manual
377,Strychnos jobertiana,Strychnos,jobertiana,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos jobertiana,Strychnos jobertiana,547247-1,547247-1,Species,Manual
378,Strychnos johnsonii,Strychnos,johnsonii,1.0,1.0,39,,,,,0.0,"3, 39",Loganiaceae,Strychnos johnsonii,Strychnos johnsonii,547248-1,547248-1,Species,Manual
379,Strychnos kasengaensis,Strychnos,kasengaensis,1.0,1.0,"39, 72",,,,,0.0,39,Loganiaceae,Strychnos kasengaensis,Strychnos kasengaensis,547252-1,547252-1,Species,Manual
380,Strychnos krukoffiana,Strychnos,krukoffiana,,,,,,,,,,Loganiaceae,Strychnos krukoffiana,Strychnos krukoffiana,247316-2,247316-2,Species,Manual
381,Strychnos lanata,Strychnos,lanata,,,,,,,,,,Loganiaceae,Strychnos lanata,Strychnos lanata,547261-1,547261-1,Species,Manual
382,Strychnos ledermannii,Strychnos,ledermannii,1.0,1.0,"57, 83",,,,,,,Loganiaceae,Strychnos ledermannii,Strychnos ledermannii,547271-1,547271-1,Species,Manual
383,Strychnos leenhoutsii,Strychnos,leenhoutsii,,,,,,,,,,Loganiaceae,Strychnos leenhoutsii,Strychnos leenhoutsii,547272-1,547272-1,Species,Manual
384,Strychnos lobelioides,Strychnos,lobelioides,,,,,,,,,,Loganiaceae,Strychnos lobelioides,Strychnos lobelioides,247318-2,247318-2,Species,Manual
385,Strychnos longicaudata,Strychnos,longicaudata,1.0,1.0,39,,,,,1.0,"37, 39",Loganiaceae,Strychnos longicaudata,Strychnos longicaudata,60452498-2,60452498-2,Species,Manual
386,Strychnos lucens,Strychnos,lucens,1.0,1.0,39,,,,,0.0,3,Loganiaceae,Strychnos lucens,Strychnos lucens,547293-1,547293-1,Species,Manual
387,Strychnos lucida,Strychnos,lucida,1.0,1.0,"KN, 40",1.0,"22, 94",,,1.0,"22, 40 ",Loganiaceae,Strychnos lucida,Strychnos lucida,547295-1,547295-1,Species,Manual
388,Strychnos luzonensis,Strychnos,luzonensis,,,,,,,,,,Loganiaceae,Strychnos luzonensis,Strychnos luzonensis,547296-1,547296-1,Species,Manual
389,Strychnos madagascariensis,Strychnos,madagascariensis,,,,,,,,,,Loganiaceae,Strychnos madagascariensis,Strychnos madagascariensis,547300-1,547300-1,Species,Manual
390,Strychnos maingayi,Strychnos,maingayi,,,,,,,,,,Loganiaceae,Strychnos maingayi,Strychnos maingayi,547301-1,547301-1,Species,Manual
391,Strychnos malacoclados,Strychnos,malacoclados,1.0,1.0,41,,,,,1.0,41,Loganiaceae,Strychnos malacoclados,Strychnos malacoclados,547303-1,547303-1,Species,Manual
392,Strychnos malacosperma,Strychnos,malacosperma,,,,,,,,,,Loganiaceae,Strychnos malacosperma,Strychnos malacosperma,247322-2,247322-2,Species,Manual
393,Strychnos malchairii,Strychnos,malchairii,,,,,,,,,,Loganiaceae,Strychnos malchairii,Strychnos malchairii,547305-1,547305-1,Species,Manual
394,Strychnos matopensis,Strychnos,matopensis,1.0,1.0,39,,,,,1.0,39,Loganiaceae,Strychnos matopensis,Strychnos matopensis,547312-1,547312-1,Species,Manual
395,Strychnos mattogrossensis,Strychnos,mattogrossensis,1.0,1.0,79,,,,,0.0,37,Loganiaceae,Strychnos mattogrossensis,Strychnos mattogrossensis,247325-2,247325-2,Species,Manual
396,Strychnos medeola,Strychnos,medeola,,,,,,,,,,Loganiaceae,Strychnos medeola,Strychnos medeola,547316-1,547316-1,Species,Manual
397,Strychnos melanocarpa,Strychnos,melanocarpa,,,,,,,,,,Loganiaceae,Strychnos melanocarpa,Strychnos melanocarpa,547318-1,547318-1,Species,Manual
398,Strychnos melastomatoides,Strychnos,melastomatoides,,,,,,,,,,Loganiaceae,Strychnos melastomatoides,Strychnos melastomatoides,547319-1,547319-1,Species,Manual
399,Strychnos melinoniana,Strychnos,melinoniana,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos melinoniana,Strychnos melinoniana,547320-1,547320-1,Species,Manual
400,Strychnos mellodora,Strychnos,mellodora,1.0,1.0,KN/53,,,,,0.0,3,Loganiaceae,Strychnos mellodora,Strychnos mellodora,547322-1,547322-1,Species,Manual
401,Strychnos memecyloides,Strychnos,memecyloides,,,,,,,,0.0,37,Loganiaceae,Strychnos memecyloides,Strychnos memecyloides,547324-1,547324-1,Species,Manual
402,Strychnos millepunctata,Strychnos,millepunctata,,,,,,,,,,Loganiaceae,Strychnos millepunctata,Strychnos millepunctata,547332-1,547332-1,Species,Manual
403,Strychnos mimfiensis,Strychnos,mimfiensis,,,,,,,,,,Loganiaceae,Strychnos mimfiensis,Strychnos mimfiensis,547334-1,547334-1,Species,Manual
404,Strychnos minor,Strychnos,minor,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos minor,Strychnos minor,547339-1,547339-1,Species,Manual
405,Strychnos mitis,Strychnos,mitis,1.0,1.0,13,1.0,13,,,1.0,"3,13",Loganiaceae,Strychnos mitis,Strychnos mitis,547340-1,547340-1,Species,Manual
406,Strychnos mitscherlichii,Strychnos,mitscherlichii,1.0,1.0,44,,,,,,,Loganiaceae,Strychnos mitscherlichii,Strychnos mitscherlichii,547341-1,547341-1,Species,Manual
407,Strychnos moandaensis,Strychnos,moandaensis,1.0,1.0,9,,,,,0.0,9,Loganiaceae,Strychnos moandaensis,Strychnos moandaensis,547342-1,547342-1,Species,Manual
408,Strychnos mostueoides,Strychnos,mostueoides,1.0,1.0,42,,,,,,,Loganiaceae,Strychnos mostueoides,Strychnos mostueoides,547349-1,547349-1,Species,Manual
409,Strychnos myrioneura,Strychnos,myrioneura,,,,,,,,,,Loganiaceae,Strychnos myrioneura,Strychnos myrioneura,77222168-1,77222168-1,Species,Manual
410,Strychnos myrtoides,Strychnos,myrtoides,1.0,1.0,38,1.0,98,,,0.0,8,Loganiaceae,Strychnos myrtoides,Strychnos myrtoides,547356-1,547356-1,Species,Manual
411,Strychnos nana,Strychnos,nana,,,,,,,,,,Loganiaceae,Strychnos nana,Strychnos nana,77177752-1,77177752-1,Species,Manual
412,Strychnos narcondamensis,Strychnos,narcondamensis,,,,,,,,,,Loganiaceae,Strychnos narcondamensis,Strychnos narcondamensis,547357-1,547357-1,Species,Manual
413,Strychnos ndengensis,Strychnos,ndengensis,,,,,,,,,,Loganiaceae,Strychnos ndengensis,Strychnos ndengensis,547359-1,547359-1,Species,Manual
414,Strychnos neglecta,Strychnos,neglecta,,,,,,,,,,Loganiaceae,Strychnos neglecta,Strychnos neglecta,247329-2,247329-2,Species,Manual
415,Strychnos ngouniensis,Strychnos,ngouniensis,1.0,1.0,39,,,,,0.0,39,Loganiaceae,Strychnos ngouniensis,Strychnos ngouniensis,547361-1,547361-1,Species,Manual
416,Strychnos nicaraguensis,Strychnos,nicaraguensis,,,,,,,,,,Loganiaceae,Strychnos nicaraguensis,Strychnos nicaraguensis,285708-2,285708-2,Species,Manual
417,Strychnos nigricans,Strychnos,nigricans,,,,,,,,,,Loganiaceae,Strychnos nigricans,Strychnos nigricans,547364-1,547364-1,Species,Manual
418,Strychnos nigritana,Strychnos,nigritana,,,,,,,,,,Loganiaceae,Strychnos nigritana,Strychnos nigritana,547365-1,547365-1,Species,Manual
419,Strychnos nitida,Strychnos,nitida,1.0,1.0,"59, 84",,,,,,,Loganiaceae,Strychnos nitida,Strychnos nitida,547367-1,547367-1,Species,Manual
420,Strychnos nux-blanda,Strychnos,nux-blanda,1.0,1.0,77,1.0,77,,,,,Loganiaceae,Strychnos nux-blanda,Strychnos nux-blanda,547370-1,547370-1,Species,Manual
421,Strychnos nux-vomica,Strychnos,nux-vomica,1.0,1.0,19,1.0,"95, 105",1.0,"19, 96",0.0,"3, 19",Loganiaceae,Strychnos nux-vomica,Strychnos nux-vomica,547371-1,547371-1,Species,Manual
422,Strychnos odorata,Strychnos,odorata,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos odorata,Strychnos odorata,547375-1,547375-1,Species,Manual
423,Strychnos oiapocensis,Strychnos,oiapocensis,,,,,,,,,,Loganiaceae,Strychnos oiapocensis,Strychnos oiapocensis,247332-2,247332-2,Species,Manual
424,Strychnos oleifolia,Strychnos,oleifolia,,,,,,,,,,Loganiaceae,Strychnos oleifolia,Strychnos oleifolia,547378-1,547378-1,Species,Manual
425,Strychnos ovata,Strychnos,ovata,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos ovata,Strychnos ovata,547385-1,547385-1,Species,Manual
426,Strychnos pachycarpa,Strychnos,pachycarpa,,,,,,,,,,Loganiaceae,Strychnos pachycarpa,Strychnos pachycarpa,247334-2,247334-2,Species,Manual
427,Strychnos panamensis,Strychnos,panamensis,1.0,1.0,45/68,1.0,101,,,,,Loganiaceae,Strychnos panamensis,Strychnos panamensis,547390-1,547390-1,Species,Manual
428,Strychnos panganensis,Strychnos,panganensis,1.0,1.0,39/81,,,,,0.0,39,Loganiaceae,Strychnos panganensis,Strychnos panganensis,547392-1,547392-1,Species,Manual
429,Strychnos parviflora,Strychnos,parviflora,,,,,,,,,,Loganiaceae,Strychnos parviflora,Strychnos parviflora,547398-1,547398-1,Species,Manual
430,Strychnos parvifolia,Strychnos,parvifolia,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos parvifolia,Strychnos parvifolia,547399-1,547399-1,Species,Manual
431,Strychnos peckii,Strychnos,peckii,,,,,,,,,,Loganiaceae,Strychnos peckii,Strychnos peckii,547401-1,547401-1,Species,Manual
432,Strychnos penninervis,Strychnos,penninervis,,,,,,,,,,Loganiaceae,Strychnos penninervis,Strychnos penninervis,547405-1,547405-1,Species,Manual
433,Strychnos pentantha,Strychnos,pentantha,,,,,,,,,,Loganiaceae,Strychnos pentantha,Strychnos pentantha,547406-1,547406-1,Species,Manual
434,Strychnos phaeotricha,Strychnos,phaeotricha,,,,,,,,0.0,3,Loganiaceae,Strychnos phaeotricha,Strychnos phaeotricha,547408-1,547408-1,Species,Manual
435,Strychnos poeppigii,Strychnos,poeppigii,,,,,,,,,,Loganiaceae,Strychnos poeppigii,Strychnos poeppigii,547415-1,547415-1,Species,Manual
436,Strychnos polyantha,Strychnos,polyantha,,,,,,,,,,Loganiaceae,Strychnos polyantha,Strychnos polyantha,547416-1,547416-1,Species,Manual
437,Strychnos polytrichantha,Strychnos,polytrichantha,,,,,,,,,,Loganiaceae,Strychnos polytrichantha,Strychnos polytrichantha,547419-1,547419-1,Species,Manual
438,Strychnos potatorum,Strychnos,potatorum,1.0,1.0,39,1.0,24,,,1.0,"3, 39",Loganiaceae,Strychnos potatorum,Strychnos potatorum,547420-1,547420-1,Species,Manual
439,Strychnos progeliana,Strychnos,progeliana,,,,,,,,,,Loganiaceae,Strychnos progeliana,Strychnos progeliana,247341-2,247341-2,Species,Manual
440,Strychnos pseudoquina,Strychnos,pseudoquina,1.0,1.0,"4, 71",1.0,"4, 71, 101",1.0,71,1.0,"4, 21",Loganiaceae,Strychnos pseudoquina,Strychnos pseudoquina,547425-1,547425-1,Species,Manual
441,Strychnos psilosperma,Strychnos,psilosperma,1.0,1.0,86,,,,,,,Loganiaceae,Strychnos psilosperma,Strychnos psilosperma,547427-1,547427-1,Species,Manual
442,Strychnos puberula,Strychnos,puberula,,,,,,,,,,Loganiaceae,Strychnos puberula,Strychnos puberula,77119500-1,77119500-1,Species,Manual
443,Strychnos pubescens,Strychnos,pubescens,,,,,,,,,,Loganiaceae,Strychnos pubescens,Strychnos pubescens,547428-1,547428-1,Species,Manual
444,Strychnos pubiflora,Strychnos,pubiflora,,,,,,,,,,Loganiaceae,Strychnos pubiflora,Strychnos pubiflora,247343-2,247343-2,Species,Manual
445,Strychnos pungens,Strychnos,pungens,1.0,1.0,39,,,,,0.0,"3, 39",Loganiaceae,Strychnos pungens,Strychnos pungens,547430-1,547430-1,Species,Manual
446,Strychnos ramentifera,Strychnos,ramentifera,,,,,,,,,,Loganiaceae,Strychnos ramentifera,Strychnos ramentifera,247344-2,247344-2,Species,Manual
447,Strychnos recognita,Strychnos,recognita,,,,,,,,,,Loganiaceae,Strychnos recognita,Strychnos recognita,247345-2,247345-2,Species,Manual
448,Strychnos retinervis,Strychnos,retinervis,,,,,,,,,,Loganiaceae,Strychnos retinervis,Strychnos retinervis,547443-1,547443-1,Species,Manual
449,Strychnos ridleyi,Strychnos,ridleyi,,,,,,,,,,Loganiaceae,Strychnos ridleyi,Strychnos ridleyi,547448-1,547448-1,Species,Manual
450,Strychnos romeu-belenii,Strychnos,romeu-belenii,,,,,,,,,,Loganiaceae,Strychnos romeu-belenii,Strychnos romeu-belenii,247347-2,247347-2,Species,Manual
451,Strychnos rondeletioides,Strychnos,rondeletioides,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos rondeletioides,Strychnos rondeletioides,547453-1,547453-1,Species,Manual
452,Strychnos rubiginosa,Strychnos,rubiginosa,1.0,1.0,52,,,,,,,Loganiaceae,Strychnos rubiginosa,Strychnos rubiginosa,547455-1,547455-1,Species,Manual
453,Strychnos rufa,Strychnos,rufa,,,,,,,,,,Loganiaceae,Strychnos rufa,Strychnos rufa,547456-1,547456-1,Species,Manual
454,Strychnos rupicola,Strychnos,rupicola,,,,,,,,,,Loganiaceae,Strychnos rupicola,Strychnos rupicola,547458-1,547458-1,Species,Manual
455,Strychnos samba,Strychnos,samba,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos samba,Strychnos samba,547459-1,547459-1,Species,Manual
456,Strychnos sandwithiana,Strychnos,sandwithiana,,,,,,,,,,Loganiaceae,Strychnos sandwithiana,Strychnos sandwithiana,247349-2,247349-2,Species,Manual
457,Strychnos scheffleri,Strychnos,scheffleri,1.0,1.0,46,,,,,0.0,3,Loganiaceae,Strychnos scheffleri,Strychnos scheffleri,547464-1,547464-1,Species,Manual
458,Strychnos schultesiana,Strychnos,schultesiana,,,,,,,,,,Loganiaceae,Strychnos schultesiana,Strychnos schultesiana,247350-2,247350-2,Species,Manual
459,Strychnos schunkei,Strychnos,schunkei,,,,,,,,,,Loganiaceae,Strychnos schunkei,Strychnos schunkei,247351-2,247351-2,Species,Manual
460,Strychnos setosa,Strychnos,setosa,,,,,,,,,,Loganiaceae,Strychnos setosa,Strychnos setosa,247353-2,247353-2,Species,Manual
461,Strychnos solerederi,Strychnos,solerederi,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos solerederi,Strychnos solerederi,247355-2,247355-2,Species,Manual
462,Strychnos solimoesana,Strychnos,solimoesana,,,,,,,,,,Loganiaceae,Strychnos solimoesana,Strychnos solimoesana,247356-2,247356-2,Species,Manual
463,Strychnos sonlaensis,Strychnos,sonlaensis,,,,,,,,,,Loganiaceae,Strychnos sonlaensis,Strychnos sonlaensis,931166-1,931166-1,Species,Manual
464,Strychnos soubrensis,Strychnos,soubrensis,1.0,1.0,"66, 76",,,,,,,Loganiaceae,Strychnos soubrensis,Strychnos soubrensis,547483-1,547483-1,Species,Manual
465,Strychnos spinosa,Strychnos,spinosa,1.0,1.0,80,1.0,"3, 28, 43, 97, 106",,,1.0,"3,5, 28, 37",Loganiaceae,Strychnos spinosa,Strychnos spinosa,547485-1,547485-1,Species,Manual
466,Strychnos splendens,Strychnos,splendens,1.0,1.0,67,,,,,,,Loganiaceae,Strychnos splendens,Strychnos splendens,547487-1,547487-1,Species,Manual
467,Strychnos staudtii,Strychnos,staudtii,1.0,1.0,"39, 50",,,,,,,Loganiaceae,Strychnos staudtii,Strychnos staudtii,547488-1,547488-1,Species,Manual
468,Strychnos subcordata,Strychnos,subcordata,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos subcordata,Strychnos subcordata,547493-1,547493-1,Species,Manual
469,Strychnos tabascana,Strychnos,tabascana,1.0,1.0,76,,,,,,,Loganiaceae,Strychnos tabascana,Strychnos tabascana,247358-2,247358-2,Species,Manual
470,Strychnos talbotiae,Strychnos,talbotiae,,,,,,,,,,Loganiaceae,Strychnos talbotiae,Strychnos talbotiae,547502-1,547502-1,Species,Manual
471,Strychnos tarapotensis,Strychnos,tarapotensis,,,,,,,,,,Loganiaceae,Strychnos tarapotensis,Strychnos tarapotensis,247359-2,247359-2,Species,Manual
472,Strychnos tchibangensis,Strychnos,tchibangensis,1.0,1.0,70,,,,,,,Loganiaceae,Strychnos tchibangensis,Strychnos tchibangensis,547504-1,547504-1,Species,Manual
473,Strychnos ternata,Strychnos,ternata,,,,,,,,,,Loganiaceae,Strychnos ternata,Strychnos ternata,547508-1,547508-1,Species,Manual
474,Strychnos tetragona,Strychnos,tetragona,,,,,,,,,,Loganiaceae,Strychnos tetragona,Strychnos tetragona,547511-1,547511-1,Species,Manual
475,Strychnos thorelii,Strychnos,thorelii,,,,,,,,,,Loganiaceae,Strychnos thorelii,Strychnos thorelii,547514-1,547514-1,Species,Manual
476,Strychnos tomentosa,Strychnos,tomentosa,,,,,,,,,,Loganiaceae,Strychnos tomentosa,Strychnos tomentosa,547520-1,547520-1,Species,Manual
477,Strychnos torresiana,Strychnos,torresiana,,,,,,,,,,Loganiaceae,Strychnos torresiana,Strychnos torresiana,247362-2,247362-2,Species,Manual
478,Strychnos toxifera,Strychnos,toxifera,1.0,1.0,65,,,,,,,Loganiaceae,Strychnos toxifera,Strychnos toxifera,547525-1,547525-1,Species,Manual
479,Strychnos tricalysioides,Strychnos,tricalysioides,,,,,,,,,,Loganiaceae,Strychnos tricalysioides,Strychnos tricalysioides,547527-1,547527-1,Species,Manual
480,Strychnos trichocalyx,Strychnos,trichocalyx,,,,,,,,,,Loganiaceae,Strychnos trichocalyx,Strychnos trichocalyx,547529-1,547529-1,Species,Manual
481,Strychnos trichoneura,Strychnos,trichoneura,,,,,,,,,,Loganiaceae,Strychnos trichoneura,Strychnos trichoneura,547530-1,547530-1,Species,Manual
482,Strychnos trinervis,Strychnos,trinervis,1.0,1.0,74,1.0,101,,,,,Loganiaceae,Strychnos trinervis,Strychnos trinervis,77221793-1,77221793-1,Species,Manual
483,Strychnos tseasnum,Strychnos,tseasnum,,,,,,,,,,Loganiaceae,Strychnos tseasnum,Strychnos tseasnum,247364-2,247364-2,Species,Manual
484,Strychnos umbellata,Strychnos,umbellata,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos umbellata,Strychnos umbellata,547538-1,547538-1,Species,Manual
485,Strychnos urceolata,Strychnos,urceolata,,,,,,,,,,Loganiaceae,Strychnos urceolata,Strychnos urceolata,547542-1,547542-1,Species,Manual
486,Strychnos usambarensis,Strychnos,usambarensis,1.0,1.0,37,1.0,"99, 103",,,1.0,"6, 11, 14, 18, 37",Loganiaceae,Strychnos usambarensis,Strychnos usambarensis,547543-1,547543-1,Species,Manual
487,Strychnos vanprukii,Strychnos,vanprukii,1.0,1.0,"57, 60",,,,,,,Loganiaceae,Strychnos vanprukii,Strychnos vanprukii,547548-1,547548-1,Species,Manual
488,Strychnos variabilis,Strychnos,variabilis,1.0,1.0,58,,,,,1.0,"3, 37",Loganiaceae,Strychnos variabilis,Strychnos variabilis,547549-1,547549-1,Species,Manual
489,Strychnos villosa,Strychnos,villosa,,,,,,,,,,Loganiaceae,Strychnos villosa,Strychnos villosa,547553-1,547553-1,Species,Manual
490,Strychnos vitiensis,Strychnos,vitiensis,,,,,,,,,,Loganiaceae,Strychnos vitiensis,Strychnos vitiensis,547557-1,547557-1,Species,Manual
491,Strychnos wallichiana,Strychnos,wallichiana,1.0,1.0,56/63,1.0,12,,,0.0,12,Loganiaceae,Strychnos wallichiana,Strychnos wallichiana,547566-1,547566-1,Species,Manual
492,Strychnos xantha,Strychnos,xantha,1.0,1.0,39,,,,,,,Loganiaceae,Strychnos xantha,Strychnos xantha,547569-1,547569-1,Species,Manual
493,Strychnos xylophylla,Strychnos,xylophylla,,,,,,,,,,Loganiaceae,Strychnos xylophylla,Strychnos xylophylla,547572-1,547572-1,Species,Manual
494,Strychnos zenkeri,Strychnos,zenkeri,,,,,,,,,,Loganiaceae,Strychnos zenkeri,Strychnos zenkeri,547574-1,547574-1,Species,Manual
495,Usteria guineensis,Usteria,guineensis,,,,1.0,93,,,,,Loganiaceae,Usteria guineensis,Usteria guineensis,547612-1,547612-1,Species,Manual
