,kew_id,native_tdwg3_codes,intro_tdwg3_codes,extinct_tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
186,546786-1,['FIJ'],[],[],Neuburgia collina,546786-1,Species,Neuburgia collina,546786-1
187,546787-1,"['BIS', 'FIJ', 'MOL', 'NWG', 'SOL', 'VAN']",[],[],Neuburgia corynocarpa,546787-1,Species,Neuburgia corynocarpa,546787-1
188,77224650-1,"['BIS', 'FIJ', 'MOL', 'NWG', 'SOL', 'VAN']",[],[],Neuburgia corynocarpa var. corynocarpa,77224650-1,Variety,Neuburgia corynocarpa,546787-1
189,886552-1,['NWG'],[],[],Neuburgia corynocarpa var. sarcantha,886552-1,Variety,Neuburgia corynocarpa,546787-1
190,546788-1,['NWG'],[],[],Neuburgia kochii,546788-1,Species,Neuburgia kochii,546788-1
191,546789-1,['FIJ'],[],[],Neuburgia macrocarpa,546789-1,Species,Neuburgia macrocarpa,546789-1
192,546790-1,['FIJ'],[],[],Neuburgia macroloba,546790-1,Species,Neuburgia macroloba,546790-1
193,546791-1,['MOL'],[],[],Neuburgia moluccana,546791-1,Species,Neuburgia moluccana,546791-1
194,77061619-1,"['NWC', 'VAN']",[],[],Neuburgia novocaledonica,77061619-1,Species,Neuburgia novocaledonica,77061619-1
195,546793-1,['NWG'],[],[],Neuburgia rumphiana,546793-1,Species,Neuburgia rumphiana,546793-1
196,80480-1,['MOL'],[],[],Neuburgia tuberculata,80480-1,Species,Neuburgia tuberculata,80480-1
197,80481-1,['NWG'],[],[],Neuburgia tubiflora,80481-1,Species,Neuburgia tubiflora,80481-1
198,60466948-2,"['BOR', 'MLY', 'PHI', 'SUM']",[],[],Norrisia major,60466948-2,Species,Norrisia major,60466948-2
199,546804-1,"['MLY', 'PHI', 'SUM']",[],[],Norrisia malaccensis,546804-1,Species,Norrisia malaccensis,546804-1
200,77154367-1,['WAU'],[],[],Orianthera biloba,77154367-1,Species,Orianthera biloba,77154367-1
201,77154368-1,['WAU'],[],[],Orianthera callosa,77154368-1,Species,Orianthera callosa,77154368-1
202,77154366-1,['WAU'],[],[],Orianthera campanulata,77154366-1,Species,Orianthera campanulata,77154366-1
203,77154369-1,"['NTA', 'WAU']",[],[],Orianthera centralis,77154369-1,Species,Orianthera centralis,77154369-1
204,77154370-1,['WAU'],[],[],Orianthera exilis,77154370-1,Species,Orianthera exilis,77154370-1
205,77154371-1,['WAU'],[],[],Orianthera flaviflora,77154371-1,Species,Orianthera flaviflora,77154371-1
206,77154372-1,['WAU'],[],[],Orianthera judithiana,77154372-1,Species,Orianthera judithiana,77154372-1
207,77154373-1,"['NSW', 'SOA', 'VIC', 'WAU']",[],[],Orianthera nuda,77154373-1,Species,Orianthera nuda,77154373-1
208,77154374-1,"['NSW', 'QLD', 'VIC']",[],[],Orianthera pusilla,77154374-1,Species,Orianthera pusilla,77154374-1
209,77154375-1,['WAU'],[],[],Orianthera serpyllifolia,77154375-1,Species,Orianthera serpyllifolia,77154375-1
210,77154376-1,['WAU'],[],[],Orianthera serpyllifolia subsp. angustifolia,77154376-1,Subspecies,Orianthera serpyllifolia,77154375-1
211,77232697-1,['WAU'],[],[],Orianthera serpyllifolia subsp. serpyllifolia,77232697-1,Subspecies,Orianthera serpyllifolia,77154375-1
212,77154377-1,['WAU'],[],[],Orianthera spermacocea,77154377-1,Species,Orianthera spermacocea,77154377-1
213,77154378-1,['WAU'],[],[],Orianthera tortuosa,77154378-1,Species,Orianthera tortuosa,77154378-1
214,77154379-1,['WAU'],[],[],Orianthera wendyae,77154379-1,Species,Orianthera wendyae,77154379-1
215,991005-1,"['SOA', 'TAS', 'VIC']",[],[],Phyllangium distylis,991005-1,Species,Phyllangium distylis,991005-1
216,991007-1,"['SOA', 'TAS', 'VIC', 'WAU']",[],[],Phyllangium divergens,991007-1,Species,Phyllangium divergens,991007-1
217,991008-1,['WAU'],[],[],Phyllangium palustre,991008-1,Species,Phyllangium palustre,991008-1
218,991004-1,['WAU'],[],[],Phyllangium paradoxum,991004-1,Species,Phyllangium paradoxum,991004-1
219,991006-1,"['NSW', 'SOA', 'VIC', 'WAU']",[],[],Phyllangium sulcatum,991006-1,Species,Phyllangium sulcatum,991006-1
220,991001-1,['TAS'],[],[],Schizacme archeri,991001-1,Species,Schizacme archeri,991001-1
221,77154485-1,['NZS'],[],[],Schizacme ciliata,77154485-1,Species,Schizacme ciliata,77154485-1
222,77154480-1,['NZS'],[],[],Schizacme helmsii,77154480-1,Species,Schizacme helmsii,77154480-1
223,991002-1,"['TAS', 'VIC']",[],[],Schizacme montana,991002-1,Species,Schizacme montana,991002-1
224,77154483-1,['NZS'],[],[],Schizacme novae-zelandiae,77154483-1,Species,Schizacme novae-zelandiae,77154483-1
225,242169-2,['BZL'],[],[],Spigelia aceifolia,242169-2,Species,Spigelia aceifolia,242169-2
226,546907-1,['BZE'],[],[],Spigelia aenea,546907-1,Species,Spigelia aenea,546907-1
227,60458075-2,['ALA'],[],[],Spigelia alabamensis,60458075-2,Species,Spigelia alabamensis,60458075-2
228,77197934-1,['BZE'],[],[],Spigelia alborubra,77197934-1,Species,Spigelia alborubra,77197934-1
229,77062626-1,['BZC'],[],[],Spigelia amambaiensis,77062626-1,Species,Spigelia amambaiensis,77062626-1
230,60434593-2,"['CLM', 'VEN']",[],[],Spigelia amazonica,60434593-2,Species,Spigelia amazonica,60434593-2
231,242170-2,['BZL'],[],[],Spigelia amplexicaulis,242170-2,Species,Spigelia amplexicaulis,242170-2
232,324568-2,['BZL'],[],[],Spigelia andersonii,324568-2,Species,Spigelia andersonii,324568-2
233,330744-2,"['AGW', 'BOL']",[],[],Spigelia andina,330744-2,Species,Spigelia andina,330744-2
234,318920-2,"['ARU', 'BAH', 'BLZ', 'BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'CAY', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXG', 'MXE', 'MXT', 'MXS', 'NLA', 'NIC', 'PAN', 'PER', 'PUE', 'SWC', 'SUR', 'TRT', 'TCI', 'VEN', 'VNA', 'WIN']","['BEN', 'BIS', 'BKN', 'CMN', 'CAF', 'CON', 'GAB', 'GHA', 'GUI', 'CHH', 'IND', 'IVO', 'JAW', 'LSI', 'LBR', 'MLY', 'MLI', 'NGA', 'SEN', 'SIE', 'SRL', 'SUM', 'THA', 'TOG', 'ZAI']",[],Spigelia anthelmia,318920-2,Species,Spigelia anthelmia,318920-2
235,546913-1,"['BZL', 'BZC']",[],[],Spigelia asperifolia,546913-1,Species,Spigelia asperifolia,546913-1
236,77174912-1,['MXS'],[],[],Spigelia ayotzinapensis,77174912-1,Species,Spigelia ayotzinapensis,77174912-1
237,242177-2,['PAR'],[],[],Spigelia beccabungoides,242177-2,Species,Spigelia beccabungoides,242177-2
238,546917-1,"['BZE', 'BZS', 'BZL']",[],[],Spigelia beyrichiana,546917-1,Species,Spigelia beyrichiana,546917-1
239,546919-1,"['BZE', 'BZS', 'BZL']",[],[],Spigelia blanchetiana,546919-1,Species,Spigelia blanchetiana,546919-1
240,546920-1,['BZE'],[],[],Spigelia brachystachya,546920-1,Species,Spigelia brachystachya,546920-1
241,242182-2,"['AGE', 'BZS', 'PAR']",[],[],Spigelia caaguazuensis,242182-2,Species,Spigelia caaguazuensis,242182-2
242,242183-2,"['GUA', 'MXT']",[],[],Spigelia carnosa,242183-2,Species,Spigelia carnosa,242183-2
243,242184-2,['BZL'],[],[],Spigelia cascatensis,242184-2,Species,Spigelia cascatensis,242184-2
244,242185-2,['BZS'],[],[],Spigelia catarinensis,242185-2,Species,Spigelia catarinensis,242185-2
245,319214-2,"['MXC', 'MXT']",[],[],Spigelia chiapensis,319214-2,Species,Spigelia chiapensis,319214-2
246,77093116-1,['CLM'],[],[],Spigelia chocoensis,77093116-1,Species,Spigelia chocoensis,77093116-1
247,285434-2,['BZL'],[],[],Spigelia cipoensis,285434-2,Species,Spigelia cipoensis,285434-2
248,319213-2,"['GUA', 'MXG', 'MXE', 'MXN', 'MXT', 'MXS']",[],[],Spigelia coelostylioides,319213-2,Species,Spigelia coelostylioides,319213-2
249,77093114-1,['MXS'],[],[],Spigelia colimensis,77093114-1,Species,Spigelia colimensis,77093114-1
250,1004882-1,['BZE'],[],[],Spigelia cremnophila,1004882-1,Species,Spigelia cremnophila,1004882-1
251,330742-2,"['CLM', 'ECU']",[],[],Spigelia faveolata,330742-2,Species,Spigelia faveolata,330742-2
252,300211-2,['BZE'],[],[],Spigelia flava,300211-2,Species,Spigelia flava,300211-2
253,546932-1,"['BOL', 'BZN', 'BZE', 'BZS', 'BZL', 'GUY']",[],[],Spigelia flemmingiana,546932-1,Species,Spigelia flemmingiana,546932-1
254,30333464-2,"['ALA', 'FLA']",[],[],Spigelia gentianoides,30333464-2,Species,Spigelia gentianoides,30333464-2
255,77114017-1,['BZE'],[],[],Spigelia genuflexa,77114017-1,Species,Spigelia genuflexa,77114017-1
256,546936-1,"['BZE', 'BZL']",[],[],Spigelia glabrata,546936-1,Species,Spigelia glabrata,546936-1
257,546938-1,"['BZE', 'BZL']",[],[],Spigelia gracilis,546938-1,Species,Spigelia gracilis,546938-1
258,77151686-1,['MXS'],[],[],Spigelia guerrerensis,77151686-1,Species,Spigelia guerrerensis,77151686-1
259,546940-1,"['BZN', 'CUB', 'GUY', 'VEN']",[],[],Spigelia guianensis,546940-1,Species,Spigelia guianensis,546940-1
260,546941-1,"['BOL', 'BZN', 'BZE', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'HON', 'PAN', 'PER', 'SUR', 'VEN']",[],[],Spigelia hamellioides,546941-1,Species,Spigelia hamellioides,546941-1
261,324566-2,"['BZS', 'BZL']",[],[],Spigelia hatschbachii,324566-2,Species,Spigelia hatschbachii,324566-2
262,546944-1,"['CUB', 'GUA', 'MXG', 'MXE', 'MXN', 'MXT', 'TEX']",[],[],Spigelia hedyotidea,546944-1,Species,Spigelia hedyotidea,546944-1
263,242200-2,['BZL'],[],[],Spigelia heliotropioides,242200-2,Species,Spigelia heliotropioides,242200-2
264,242201-2,['BOL'],[],[],Spigelia herzogiana,242201-2,Species,Spigelia herzogiana,242201-2
265,77080992-1,['BZL'],[],[],Spigelia hirtula,77080992-1,Species,Spigelia hirtula,77080992-1
266,546947-1,"['AGE', 'AGW', 'BLZ', 'BOL', 'BZN', 'BZE', 'BZS', 'BZL', 'BZC', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXE', 'MXT', 'MXS', 'NIC', 'PAN', 'PAR', 'PER', 'URU', 'VEN']",[],[],Spigelia humboldtiana,546947-1,Species,Spigelia humboldtiana,546947-1
267,20002791-1,['BZL'],[],[],Spigelia hurleyi,20002791-1,Species,Spigelia hurleyi,20002791-1
268,324567-2,"['AGE', 'BOL', 'BZS', 'BZL', 'PAR']",[],[],Spigelia insignis,324567-2,Species,Spigelia insignis,324567-2
269,242207-2,"['BZE', 'BZS', 'PAR']",[],[],Spigelia kleinii,242207-2,Species,Spigelia kleinii,242207-2
270,546954-1,['BZE'],[],[],Spigelia kuhlmannii,546954-1,Species,Spigelia kuhlmannii,546954-1
271,546956-1,"['BZE', 'BZL']",[],[],Spigelia laurina,546956-1,Species,Spigelia laurina,546956-1
272,20002813-1,['PER'],[],[],Spigelia leiocarpa,20002813-1,Species,Spigelia leiocarpa,20002813-1
273,546958-1,"['BZE', 'BZL', 'BZC']",[],[],Spigelia linarioides,546958-1,Species,Spigelia linarioides,546958-1
274,546960-1,['FLA'],[],[],Spigelia loganioides,546960-1,Species,Spigelia loganioides,546960-1
275,546961-1,"['MXC', 'MXG', 'MXE', 'MXS']",[],[],Spigelia longiflora,546961-1,Species,Spigelia longiflora,546961-1
276,20007552-1,['BZL'],[],[],Spigelia luciatlantica,20007552-1,Species,Spigelia luciatlantica,20007552-1
277,546964-1,['BZL'],[],[],Spigelia lundiana,546964-1,Species,Spigelia lundiana,546964-1
278,546965-1,['BZL'],[],[],Spigelia macrophylla,546965-1,Species,Spigelia macrophylla,546965-1
279,546966-1,"['ALA', 'ARK', 'FLA', 'GEO', 'ILL', 'INI', 'KTY', 'LOU', 'MRY', 'MSI', 'MSO', 'NCA', 'OKL', 'SCA', 'TEN', 'TEX', 'VRG']",[],[],Spigelia marilandica,546966-1,Species,Spigelia marilandica,546966-1
280,546967-1,"['AGE', 'BZS', 'PAR', 'URU']",[],[],Spigelia martiana,546967-1,Species,Spigelia martiana,546967-1
281,77093118-1,['BZN'],[],[],Spigelia megapotamica,77093118-1,Species,Spigelia megapotamica,77093118-1
282,546968-1,"['MXC', 'MXS']",[],[],Spigelia mexicana,546968-1,Species,Spigelia mexicana,546968-1
283,77174913-1,['MXC'],[],[],Spigelia mocinoi,77174913-1,Species,Spigelia mocinoi,77174913-1
284,242218-2,"['AGE', 'MXC', 'MXT', 'MXS', 'PAR']",[],[],Spigelia nicotianiflora,242218-2,Species,Spigelia nicotianiflora,242218-2
285,331049-2,['CLM'],[],[],Spigelia novogranatensis,331049-2,Species,Spigelia novogranatensis,331049-2
286,546974-1,['BZL'],[],[],Spigelia olfersiana,546974-1,Species,Spigelia olfersiana,546974-1
287,242221-2,"['HON', 'MXG', 'MXT', 'MXS']",[],[],Spigelia palmeri,242221-2,Species,Spigelia palmeri,242221-2
288,242222-2,"['AGE', 'BZS', 'PAR']",[],[],Spigelia paraguariensis,242222-2,Species,Spigelia paraguariensis,242222-2
289,546982-1,"['CLM', 'ECU']",[],[],Spigelia pedunculata,546982-1,Species,Spigelia pedunculata,546982-1
290,242225-2,['CLM'],[],[],Spigelia persicarioides,242225-2,Species,Spigelia persicarioides,242225-2
291,20002804-1,['PER'],[],[],Spigelia petiolata,20002804-1,Species,Spigelia petiolata,20002804-1
292,546986-1,"['BLZ', 'BZE', 'COS', 'ELS', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'VEN']",[],[],Spigelia polystachya,546986-1,Species,Spigelia polystachya,546986-1
293,546987-1,['BZE'],[],[],Spigelia pulchella,546987-1,Species,Spigelia pulchella,546987-1
294,546989-1,"['BZS', 'BZL']",[],[],Spigelia pusilla,546989-1,Species,Spigelia pusilla,546989-1
295,242228-2,"['BZE', 'BZC', 'GUA', 'MXT']",[],[],Spigelia pygmaea,242228-2,Species,Spigelia pygmaea,242228-2
296,77093115-1,['MXE'],[],[],Spigelia queretarensis,77093115-1,Species,Spigelia queretarensis,77093115-1
297,242230-2,['PAR'],[],[],Spigelia ramosa,242230-2,Species,Spigelia ramosa,242230-2
298,242232-2,"['BZS', 'BZL']",[],[],Spigelia reitzii,242232-2,Species,Spigelia reitzii,242232-2
299,242233-2,"['BZS', 'BZL']",[],[],Spigelia riedeliana,242233-2,Species,Spigelia riedeliana,242233-2
300,242235-2,"['BZS', 'BZL', 'BZC', 'PAR']",[],[],Spigelia rojasiana,242235-2,Species,Spigelia rojasiana,242235-2
301,77084193-1,['BZN'],[],[],Spigelia rondoniensis,77084193-1,Species,Spigelia rondoniensis,77084193-1
302,547002-1,"['MXE', 'MXS']",[],[],Spigelia scabrella,547002-1,Species,Spigelia scabrella,547002-1
303,547003-1,"['BZL', 'BZC']",[],[],Spigelia schlechtendaliana,547003-1,Species,Spigelia schlechtendaliana,547003-1
304,77106774-1,['CLM'],[],[],Spigelia schultesii,77106774-1,Species,Spigelia schultesii,77106774-1
305,547007-1,['BZL'],[],[],Spigelia sellowiana,547007-1,Species,Spigelia sellowiana,547007-1
306,77080991-1,['BZL'],[],[],Spigelia sordida,77080991-1,Species,Spigelia sordida,77080991-1
307,547010-1,"['BZE', 'BZL']",[],[],Spigelia spartioides,547010-1,Species,Spigelia spartioides,547010-1
308,547011-1,"['MXC', 'MXG', 'MXE', 'MXS']",[],[],Spigelia speciosa,547011-1,Species,Spigelia speciosa,547011-1
309,547012-1,['CUB'],[],[],Spigelia sphagnicola,547012-1,Species,Spigelia sphagnicola,547012-1
310,547015-1,"['COS', 'GUA', 'MXT', 'MXS']",[],[],Spigelia splendens,547015-1,Species,Spigelia splendens,547015-1
311,77155583-1,['BZN'],[],[],Spigelia spruceana,77155583-1,Species,Spigelia spruceana,77155583-1
312,77089479-1,['BZL'],[],[],Spigelia stenocardia,77089479-1,Species,Spigelia stenocardia,77089479-1
313,547016-1,"['AGE', 'BZS', 'URU']",[],[],Spigelia stenophylla,547016-1,Species,Spigelia stenophylla,547016-1
314,242239-2,"['BZN', 'BZE', 'BZS', 'BZL', 'BZC']",[],[],Spigelia tetraptera,242239-2,Species,Spigelia tetraptera,242239-2
315,547019-1,['TEX'],[],[],Spigelia texana,547019-1,Species,Spigelia texana,547019-1
316,319215-2,['MXS'],[],[],Spigelia trispicata,319215-2,Species,Spigelia trispicata,319215-2
317,242241-2,"['BOL', 'PAR']",[],[],Spigelia valenzuelae,242241-2,Species,Spigelia valenzuelae,242241-2
318,242242-2,['PAR'],[],[],Spigelia valenzuelae var. major,242242-2,Variety,Spigelia valenzuelae,242241-2
319,77227245-1,"['BOL', 'PAR']",[],[],Spigelia valenzuelae var. valenzuelae,77227245-1,Variety,Spigelia valenzuelae,242241-2
320,242243-2,['BZS'],[],[],Spigelia vestita,242243-2,Species,Spigelia vestita,242243-2
321,77162351-1,['MXS'],[],[],Spigelia xochiquetzalliana,77162351-1,Species,Spigelia xochiquetzalliana,77162351-1
322,547024-1,"['ANG', 'CMN', 'CAF', 'CON', 'GAB', 'GHA', 'GGI', 'IVO', 'LBR', 'NGA', 'SIE', 'UGA', 'ZAI']",[],[],Strychnos aculeata,547024-1,Species,Strychnos aculeata,547024-1
323,547027-1,"['BZE', 'BZL']",[],[],Strychnos acuta,547027-1,Species,Strychnos acuta,547027-1
324,547030-1,"['ASS', 'IND']",[],[],Strychnos aenea,547030-1,Species,Strychnos aenea,547030-1
325,547031-1,"['BEN', 'GHA', 'GUI', 'GNB', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE', 'TOG']",[],[],Strychnos afzelii,547031-1,Species,Strychnos afzelii,547031-1
326,247277-2,['BZE'],[],[],Strychnos alvimiana,247277-2,Species,Strychnos alvimiana,247277-2
327,247278-2,"['BZN', 'CLM', 'PER']",[],[],Strychnos amazonica,247278-2,Species,Strychnos amazonica,247278-2
328,547037-1,['AND'],[],[],Strychnos andamanensis,547037-1,Species,Strychnos andamanensis,547037-1
329,547038-1,"['ANG', 'BUR', 'CMN', 'CAF', 'CON', 'GAB', 'MOZ', 'NGA', 'TAN', 'ZAM', 'ZAI', 'ZIM']",[],[],Strychnos angolensis,547038-1,Species,Strychnos angolensis,547038-1
330,547039-1,"['CBD', 'CHC', 'CHS', 'CHH', 'PHI', 'THA', 'VIE']",[],[],Strychnos angustiflora,547039-1,Species,Strychnos angustiflora,547039-1
331,247279-2,"['BZN', 'BZE', 'BZC']",[],[],Strychnos araguaensis,247279-2,Species,Strychnos araguaensis,247279-2
332,247280-2,"['BOL', 'BZN', 'BZC', 'ECU', 'PER']",[],[],Strychnos asperula,247280-2,Species,Strychnos asperula,247280-2
333,547045-1,"['CMN', 'CON', 'LBR', 'NGA']",[],[],Strychnos asterantha,547045-1,Species,Strychnos asterantha,547045-1
334,247281-2,"['BZE', 'BZL']",[],[],Strychnos atlantica,247281-2,Species,Strychnos atlantica,247281-2
335,547050-1,"['ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NWG', 'NSW', 'NCB', 'PHI', 'QLD', 'SRL', 'SUL', 'SUM', 'THA', 'VIE']",[],[],Strychnos axillaris,547050-1,Species,Strychnos axillaris,547050-1
336,247282-2,['BZE'],[],[],Strychnos bahiensis,247282-2,Species,Strychnos bahiensis,247282-2
337,247283-2,"['BZN', 'CLM']",[],[],Strychnos barnhartiana,247283-2,Species,Strychnos barnhartiana,247283-2
338,547059-1,"['BEN', 'CMN', 'GAB', 'IVO', 'LBR', 'NGA', 'SIE', 'TOG']",[],[],Strychnos barteri,547059-1,Species,Strychnos barteri,547059-1
339,547063-1,['SRL'],[],[],Strychnos benthamii,547063-1,Species,Strychnos benthamii,547063-1
340,547068-1,"['BZN', 'BZL', 'BZC']",[],[],Strychnos bicolor,547068-1,Species,Strychnos bicolor,547068-1
341,547069-1,['MDG'],[],[],Strychnos bifurcata,547069-1,Species,Strychnos bifurcata,547069-1
342,547073-1,"['CMN', 'CAF', 'CON', 'GAB', 'NGA', 'UGA', 'ZAI']",[],[],Strychnos boonei,547073-1,Species,Strychnos boonei,547073-1
343,547074-1,['BOR'],[],[],Strychnos borneensis,547074-1,Species,Strychnos borneensis,547074-1
344,547077-1,"['BOL', 'BZN', 'CLM', 'PER', 'VEN']",[],[],Strychnos brachiata,547077-1,Species,Strychnos brachiata,547077-1
345,247287-2,"['BLZ', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXT', 'MXS', 'NIC', 'PAN']",[],[],Strychnos brachistantha,247287-2,Species,Strychnos brachistantha,247287-2
346,547081-1,"['AGE', 'BOL', 'BZE', 'BZS', 'BZL', 'BZC', 'PAR', 'URU']",[],[],Strychnos brasiliensis,547081-1,Species,Strychnos brasiliensis,547081-1
347,547083-1,"['BZN', 'GUY', 'TRT', 'VEN']",[],[],Strychnos bredemeyeri,547083-1,Species,Strychnos bredemeyeri,547083-1
348,547093-1,"['CAB', 'CMN', 'CAF', 'CON', 'GAB', 'IVO', 'LBR', 'ZAI']",[],[],Strychnos campicola,547093-1,Species,Strychnos campicola,547093-1
349,547094-1,"['CMN', 'CAF', 'CON', 'GAB', 'IVO', 'LBR', 'NGA', 'ZAI']",[],[],Strychnos camptoneura,547094-1,Species,Strychnos camptoneura,547094-1
350,547096-1,"['CMN', 'GAB']",[],[],Strychnos canthioides,547096-1,Species,Strychnos canthioides,547096-1
351,547100-1,"['BZN', 'PER']",[],[],Strychnos castelnaeana,547100-1,Species,Strychnos castelnaeana,547100-1
352,547102-1,"['CHC', 'CHS', 'CHH', 'TAI', 'THA', 'VIE']",[],[],Strychnos cathayensis,547102-1,Species,Strychnos cathayensis,547102-1
353,77227431-1,"['CHC', 'CHS', 'CHH', 'TAI', 'THA', 'VIE']",[],[],Strychnos cathayensis var. cathayensis,77227431-1,Variety,Strychnos cathayensis,547102-1
354,247293-2,['FRG'],[],[],Strychnos cayennensis,247293-2,Species,Strychnos cayennensis,247293-2
355,247294-2,['BZL'],[],[],Strychnos cerradoensis,247294-2,Species,Strychnos cerradoensis,247294-2
356,547109-1,"['COS', 'GUA', 'NIC', 'PAN']",[],[],Strychnos chlorantha,547109-1,Species,Strychnos chlorantha,547109-1
357,547112-1,"['CMN', 'CAF', 'CON', 'IVO']",[],[],Strychnos chromatoxylon,547112-1,Species,Strychnos chromatoxylon,547112-1
358,547114-1,"['CMN', 'CON', 'GAB', 'NGA']",[],[],Strychnos chrysophylla,547114-1,Species,Strychnos chrysophylla,547114-1
359,547124-1,"['ANG', 'BOT', 'BUR', 'CPV', 'CON', 'GAB', 'KEN', 'MLW', 'MOZ', 'NAM', 'TVL', 'TAN', 'ZAM', 'ZAI', 'ZIM']",[],[],Strychnos cocculoides,547124-1,Species,Strychnos cocculoides,547124-1
360,547125-1,"['BOL', 'BZN', 'BZC', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN']",[],[],Strychnos cogens,547125-1,Species,Strychnos cogens,547125-1
361,247295-2,"['CLM', 'COS', 'PAN', 'PER', 'VEN']",[],[],Strychnos colombiensis,247295-2,Species,Strychnos colombiensis,247295-2
362,547134-1,"['BEN', 'BKN', 'CMN', 'CAF', 'GAB', 'GUI', 'GNB', 'IVO', 'LBR', 'NGA', 'SEN', 'UGA', 'ZAI']",[],[],Strychnos congolana,547134-1,Species,Strychnos congolana,547134-1
363,547138-1,[],[],['SRL'],Strychnos coriacea,547138-1,Species,Strychnos coriacea,547138-1
364,247298-2,"['CLM', 'PAN']",[],[],Strychnos croatii,247298-2,Species,Strychnos croatii,247298-2
365,547143-1,"['BKN', 'GAB', 'IVO', 'LBR', 'SIE']",[],[],Strychnos cuminodora,547143-1,Species,Strychnos cuminodora,547143-1
366,547145-1,"['CON', 'GAB', 'ZAI']",[],[],Strychnos cuniculina,547145-1,Species,Strychnos cuniculina,547145-1
367,547147-1,"['MLY', 'THA']",[],[],Strychnos curtisii,547147-1,Species,Strychnos curtisii,547147-1
368,931165-1,['VIE'],[],[],Strychnos daclacensis,931165-1,Species,Strychnos daclacensis,931165-1
369,547149-1,"['ANG', 'CMN', 'CON', 'GAB', 'ZAI']",[],[],Strychnos dale,547149-1,Species,Strychnos dale,547149-1
